"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500011736;0;7;0;13;0;5;13;2005;2;22;2315;"Mardi";3;1;4;"";"0.0";0;450
200500011737;0;7;0;0;0;1;0;2005;2;10;1215;"Jeudi";1;1;8;"";"0.0";0;450
200500011738;0;7;0;0;2;2;13;2005;2;13;2015;"Dimanche";3;1;4;"";"222900.0";4816700;450
200500011738;0;7;0;0;2;1;0;2005;2;13;2015;"Dimanche";3;1;4;"";"222900.0";4816700;450
200500011739;0;7;0;0;2;3;19;2005;2;20;2130;"Dimanche";5;2;9;"Route de Jargeau";"225200.0";4812800;450
200500011739;0;7;0;0;2;3;1;2005;2;20;2130;"Dimanche";5;2;9;"Route de Jargeau";"225200.0";4812800;450
200500011863;0;7;0;3;0;7;14;2005;2;19;1500;"Samedi";1;1;8;"";"0.0";0;450
200500011864;0;7;0;4;0;3;1;2005;2;25;1300;"Vendredi";1;1;1;"";"0.0";0;450
200500013619;0;7;0;0;2;1;17;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013619;0;17;0;0;2;1;1;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013619;0;7;0;0;2;1;1;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013619;0;7;0;0;2;8;1;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013619;0;7;0;0;2;1;1;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013619;0;7;0;0;0;0;21;2005;3;24;1345;"Jeudi";1;1;2;"";"0.0";0;450
200500013620;0;7;0;0;2;7;17;2005;3;20;1500;"Dimanche";1;2;1;"boulevard Jean d'arc";"212000.0";4787000;450
200500013620;0;99;0;0;2;8;1;2005;3;20;1500;"Dimanche";1;2;1;"boulevard Jean d'arc";"212000.0";4787000;450
200500013621;0;7;0;6;2;1;15;2005;3;23;1430;"Mercredi";1;2;1;"Route d'Orléans";"0.0";0;450
200500013621;0;7;0;0;2;1;1;2005;3;23;1430;"Mercredi";1;2;1;"Route d'Orléans";"0.0";0;450
200500013622;0;7;0;0;2;6;15;2005;3;17;1630;"Jeudi";1;1;1;"";"168000.0";4782100;450
200500013622;0;5;0;0;2;1;17;2005;3;17;1630;"Jeudi";1;1;1;"";"168000.0";4782100;450
200500013623;0;7;0;0;2;3;13;2005;3;25;45;"Vendredi";3;2;5;"";"217300.0";4811200;450
200500013623;0;7;0;0;2;3;1;2005;3;25;45;"Vendredi";3;2;5;"";"217300.0";4811200;450
200500013624;0;7;0;10;0;3;14;2005;3;29;1700;"Mardi";1;1;2;"";"0.0";0;450
200500013625;0;7;0;0;2;2;17;2005;3;11;1700;"Vendredi";1;1;1;"";"274000.0";4772700;450
200500013625;0;15;0;0;2;6;1;2005;3;11;1700;"Vendredi";1;1;1;"";"274000.0";4772700;450
200500013626;0;7;0;0;2;3;9;2005;3;16;1130;"Mercredi";1;2;1;"RUE YVER BAPTEROSSE";"0.0";0;450
200500013626;0;2;0;0;2;1;1;2005;3;16;1130;"Mercredi";1;2;1;"RUE YVER BAPTEROSSE";"0.0";0;450
200500013627;0;7;0;0;6;2;1;2005;3;30;2130;"Mercredi";3;1;3;"";"0.0";0;450
200500013627;0;7;0;0;2;1;1;2005;3;30;2130;"Mercredi";3;1;3;"";"0.0";0;450
200500013627;0;15;0;0;2;2;5;2005;3;30;2130;"Mercredi";3;1;3;"";"0.0";0;450
200500013628;0;7;0;0;2;1;5;2005;3;31;730;"Jeudi";1;1;1;"";"0.0";0;450
200500013628;0;7;0;0;0;1;5;2005;3;31;730;"Jeudi";1;1;1;"";"0.0";0;450
200500013629;0;7;0;0;2;5;1;2005;3;24;1300;"Jeudi";1;2;2;"CD 952";"0.0";0;450
200500013629;0;15;0;0;2;3;1;2005;3;24;1300;"Jeudi";1;2;2;"CD 952";"0.0";0;450
200500013630;0;7;0;2;0;1;1;2005;3;25;1930;"Vendredi";3;1;1;"";"233900.0";4770900;450
200500013631;0;7;0;2;0;1;1;2005;3;28;1230;"Lundi";1;1;2;"";"255500.0";4776900;450
200500013632;0;7;0;0;2;3;13;2005;3;22;1000;"Mardi";1;1;2;"";"306000.0";4795700;450
200500013632;0;17;0;0;2;3;1;2005;3;22;1000;"Mardi";1;1;2;"";"306000.0";4795700;450
200500013633;0;2;0;8;0;1;14;2005;3;23;1630;"Mercredi";1;1;1;"";"0.0";0;450
200500013634;0;7;0;6;0;5;1;2005;3;27;15;"Dimanche";3;1;2;"";"263000.0";4807000;450
200500013635;0;7;0;0;2;1;1;2005;3;1;1745;"Mardi";1;2;1;"rue du Général Crouzat";"0.0";0;450
200500013635;0;7;0;0;2;1;1;2005;3;1;1745;"Mardi";1;2;1;"rue du Général Crouzat";"0.0";0;450
200500013772;0;7;0;4;0;3;2;2005;3;1;900;"Mardi";1;1;1;"";"0.0";0;450
200500013774;0;7;0;0;0;3;1;2005;3;26;645;"Samedi";1;1;1;"";"0.0";0;450
200500013775;0;7;0;4;0;3;0;2005;3;26;1230;"Samedi";1;1;1;"";"0.0";0;450
200500015441;0;2;0;0;2;1;13;2005;3;18;1345;"Vendredi";1;2;1;"30, MANDELA(AVENUE NELSO";"";NA;450
